index,Test_Time(s),,Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index
2561,295697.806588,,3120.003,33,3,4.40006971359253,295697.806588,3120.003,33,3,1.15818977355957,295697.806588,3120.003,33,3,2.12298846244812,295697.806588,3120.003,33,3,0,295697.806588,3120.003,33,3
2562,295817.809788,,3240.0062,33,3,4.39999628067017,295817.809788,3240.0062,33,3,1.10358619689941,295817.809788,3240.0062,33,3,2.16068005561829,295817.809788,3240.0062,33,3,0,295817.809788,3240.0062,33,3
2563,295937.805488,,3360.0019,33,3,4.39994955062866,295937.805488,3360.0019,33,3,1.04931163787842,295937.805488,3360.0019,33,3,2.19655728340149,295937.805488,3360.0019,33,3,0,295937.805488,3360.0019,33,3
2564,296057.804888,,3480.0013,33,3,4.40000200271606,296057.804888,3480.0013,33,3,0.997464179992676,296057.804888,3480.0013,33,3,2.23066282272339,296057.804888,3480.0013,33,3,0,296057.804888,3480.0013,33,3
2565,296177.807288,,3600.0037,33,3,4.40004968643189,296177.807288,3600.0037,33,3,0.948062896728516,296177.807288,3600.0037,33,3,2.26308035850525,296177.807288,3600.0037,33,3,0,296177.807288,3600.0037,33,3
2566,296297.805688,,3720.0021,33,3,4.4000449180603,296297.805688,3720.0021,33,3,0.899319648742676,296297.805688,3720.0021,33,3,2.2938494682312,296297.805688,3720.0021,33,3,0,296297.805688,3720.0021,33,3
2567,296417.807288,,3840.0037,33,3,4.39998865127564,296417.807288,3840.0037,33,3,0.852313041687012,296417.807288,3840.0037,33,3,2.32303547859192,296417.807288,3840.0037,33,3,0,296417.807288,3840.0037,33,3
2568,296537.804788,,3960.0012,33,3,4.40004014968872,296537.804788,3960.0012,33,3,0.809585571289063,296537.804788,3960.0012,33,3,2.35072088241577,296537.804788,3960.0012,33,3,0,296537.804788,3960.0012,33,3
2569,296657.810088,,4080.0065,33,3,4.40000295639038,296657.810088,4080.0065,33,3,0.768773078918457,296657.810088,4080.0065,33,3,2.37701654434204,296657.810088,4080.0065,33,3,0,296657.810088,4080.0065,33,3
2570,296777.807888,,4200.0043,33,3,4.40000581741333,296777.807888,4200.0043,33,3,0.728727340698242,296777.807888,4200.0043,33,3,2.40196466445923,296777.807888,4200.0043,33,3,0,296777.807888,4200.0043,33,3
2571,296897.809088,,4320.0055,33,3,4.40001344680786,296897.809088,4320.0055,33,3,0.690731048583984,296897.809088,4320.0055,33,3,2.425612449646,296897.809088,4320.0055,33,3,0,296897.809088,4320.0055,33,3
2572,297017.804688,,4440.0011,33,3,4.39994668960571,297017.804688,4440.0011,33,3,0.653937339782715,297017.804688,4440.0011,33,3,2.44800782203674,297017.804688,4440.0011,33,3,0,297017.804688,4440.0011,33,3
2573,297024.142188,,4446.3386,33,3,4.39998769760132,297024.142188,4446.3386,33,3,0.651954650878906,297024.142188,4446.3386,33,3,2.44915771484375,297024.142188,4446.3386,33,3,0,297024.142188,4446.3386,33,3
2574,297144.198312,,120.0066,33,4,4.27778482437134,297144.198312,120.0066,33,4,0,297144.198312,120.0066,33,4,2.44916129112244,297144.198312,120.0066,33,4,0,297144.198312,120.0066,33,4
