index,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
790,92085.8365,2160.0004,10,5,3.39688205718994,92085.8365,2160.0004,10,5,-2.28213024139404,92085.8365,2160.0004,10,5,2.40382075309753,92085.8365,2160.0004,10,5,1.36925280094147
791,92205.8402,2280.0041,10,5,3.38065528869629,92205.8402,2280.0041,10,5,-2.2821102142334,92205.8402,2280.0041,10,5,2.40382075309753,92205.8402,2280.0041,10,5,1.44532608985901
792,92325.8393,2400.0032,10,5,3.36451244354248,92325.8393,2400.0032,10,5,-2.28215026855469,92325.8393,2400.0032,10,5,2.40382075309753,92325.8393,2400.0032,10,5,1.5213942527771
793,92445.8376,2520.0015,10,5,3.34816455841064,92445.8376,2520.0015,10,5,-2.28214359283447,92445.8376,2520.0015,10,5,2.40382075309753,92445.8376,2520.0015,10,5,1.59746432304382
794,92565.8401,2640.004,10,5,3.33169555664062,92565.8401,2640.004,10,5,-2.28207969665527,92565.8401,2640.004,10,5,2.40382075309753,92565.8401,2640.004,10,5,1.67353618144989
795,92685.8413,2760.0052,10,5,3.31461048126221,92685.8413,2760.0052,10,5,-2.28211784362793,92685.8413,2760.0052,10,5,2.40382075309753,92685.8413,2760.0052,10,5,1.74960374832153
796,92805.8386,2880.0025,10,5,3.29541873931885,92805.8386,2880.0025,10,5,-2.28207969665527,92805.8386,2880.0025,10,5,2.40382075309753,92805.8386,2880.0025,10,5,1.82566809654236
797,92925.8408,3000.0047,10,5,3.27498531341553,92925.8408,3000.0047,10,5,-2.2820930480957,92925.8408,3000.0047,10,5,2.40382075309753,92925.8408,3000.0047,10,5,1.901740193367
798,93045.8408,3120.0047,10,5,3.25179481506348,93045.8408,3120.0047,10,5,-2.28212833404541,93045.8408,3120.0047,10,5,2.40382075309753,93045.8408,3120.0047,10,5,1.97780990600586
799,93165.8394,3240.0033,10,5,3.22495365142822,93165.8394,3240.0033,10,5,-2.28208446502686,93165.8394,3240.0033,10,5,2.40382075309753,93165.8394,3240.0033,10,5,2.05388307571411
800,93285.8391,3360.003,10,5,3.19299983978271,93285.8391,3360.003,10,5,-2.28213214874268,93285.8391,3360.003,10,5,2.40382075309753,93285.8391,3360.003,10,5,2.12994980812073
801,93405.8396,3480.0035,10,5,3.15415000915527,93405.8396,3480.0035,10,5,-2.28219413757324,93405.8396,3480.0035,10,5,2.40382075309753,93405.8396,3480.0035,10,5,2.20601916313171
802,93525.8387,3600.0026,10,5,3.10627365112305,93525.8387,3600.0026,10,5,-2.28203678131104,93525.8387,3600.0026,10,5,2.40382075309753,93525.8387,3600.0026,10,5,2.28209447860718
803,93645.839,3720.0029,10,5,3.0457181930542,93645.839,3720.0029,10,5,-2.28209972381592,93645.839,3720.0029,10,5,2.40382075309753,93645.839,3720.0029,10,5,2.35816240310669
804,93719.1375,3793.3014,10,5,2.99995803833008,93719.1375,3793.3014,10,5,-2.28217887878418,93719.1375,3793.3014,10,5,2.40382075309753,93719.1375,3793.3014,10,5,2.40462636947632
805,93839.285864,120.005,10,6,3.63765239715576,93839.285864,120.005,10,6,0,93839.285864,120.005,10,6,2.40382075309753,93839.285864,120.005,10,6,2.40467309951782
806,93959.281564,240.0007,10,6,3.66716957092285,93959.281564,240.0007,10,6,0,93959.281564,240.0007,10,6,2.40382075309753,93959.281564,240.0007,10,6,2.40467309951782
807,94019.283164,300.0023,10,6,3.6739616394043,94019.283164,300.0023,10,6,0,94019.283164,300.0023,10,6,2.40382075309753,94019.283164,300.0023,10,6,2.40467309951782
808,94075.3543,55.9758,11,2,4.20005893707275,94075.3543,55.9758,11,2,3.25995635986328,94075.3543,55.9758,11,2,0.058151260018349,94075.3543,55.9758,11,2,2.26330687524978E-09
809,94195.37472,120.0039,11,3,4.25532722473145,94195.37472,120.0039,11,3,3.25997924804687,94195.37472,120.0039,11,3,0.16655495762825,94195.37472,120.0039,11,3,2.26330687524978E-09
810,94315.37262,240.0018,11,3,4.28738307952881,94315.37262,240.0018,11,3,3.26001167297363,94315.37262,240.0018,11,3,0.275224477052689,94315.37262,240.0018,11,3,2.26330687524978E-09
811,94435.37392,360.0031,11,3,4.31235027313232,94435.37392,360.0031,11,3,3.25989723205566,94435.37392,360.0031,11,3,0.383882522583008,94435.37392,360.0031,11,3,2.26330687524978E-09
812,94555.37392,480.0031,11,3,4.33443832397461,94555.37392,480.0031,11,3,3.26004219055176,94555.37392,480.0031,11,3,0.492552310228348,94555.37392,480.0031,11,3,2.26330687524978E-09
813,94675.37672,600.0059,11,3,4.35862064361572,94675.37672,600.0059,11,3,3.25996017456055,94675.37672,600.0059,11,3,0.601216197013855,94675.37672,600.0059,11,3,2.26330687524978E-09
814,94795.37322,720.0024,11,3,4.3859167098999,94795.37322,720.0024,11,3,3.25996208190918,94795.37322,720.0024,11,3,0.709882915019989,94795.37322,720.0024,11,3,2.26330687524978E-09
815,94915.37652,840.0057,11,3,4.39999675750732,94915.37652,840.0057,11,3,3.14272117614746,94915.37652,840.0057,11,3,0.817509353160858,94915.37652,840.0057,11,3,2.26330687524978E-09
816,95035.37332,960.0025,11,3,4.39999580383301,95035.37332,960.0025,11,3,2.9311580657959,95035.37332,960.0025,11,3,0.918703615665436,95035.37332,960.0025,11,3,2.26330687524978E-09
817,95155.37602,1080.0052,11,3,4.39993572235107,95155.37602,1080.0052,11,3,2.73542213439941,95155.37602,1080.0052,11,3,1.01308274269104,95155.37602,1080.0052,11,3,2.26330687524978E-09
818,95275.37152,1200.0007,11,3,4.40006065368652,95275.37152,1200.0007,11,3,2.55972290039062,95275.37152,1200.0007,11,3,1.10126948356628,95275.37152,1200.0007,11,3,2.26330687524978E-09
819,95395.37432,1320.0035,11,3,4.39998435974121,95395.37432,1320.0035,11,3,2.40623664855957,95395.37432,1320.0035,11,3,1.18400633335114,95395.37432,1320.0035,11,3,2.26330687524978E-09
820,95515.37452,1440.0037,11,3,4.40001106262207,95515.37452,1440.0037,11,3,2.26948165893555,95515.37452,1440.0037,11,3,1.26191020011902,95515.37452,1440.0037,11,3,2.26330687524978E-09
821,95635.37482,1560.004,11,3,4.39998722076416,95635.37482,1560.004,11,3,2.15135383605957,95635.37482,1560.004,11,3,1.33555507659912,95635.37482,1560.004,11,3,2.26330687524978E-09
822,95755.37602,1680.0052,11,3,4.40003299713135,95755.37602,1680.0052,11,3,2.04399871826172,95755.37602,1680.0052,11,3,1.40541803836823,95755.37602,1680.0052,11,3,2.26330687524978E-09
823,95875.37722,1800.0064,11,3,4.40005302429199,95875.37722,1800.0064,11,3,1.94373321533203,95875.37722,1800.0064,11,3,1.47184133529663,95875.37722,1800.0064,11,3,2.26330687524978E-09
824,95995.37642,1920.0056,11,3,4.399977684021,95995.37642,1920.0056,11,3,1.85416030883789,95995.37642,1920.0056,11,3,1.53514242172241,95995.37642,1920.0056,11,3,2.26330687524978E-09
825,96115.37092,2040.0001,11,3,4.40003871917725,96115.37092,2040.0001,11,3,1.77143478393555,96115.37092,2040.0001,11,3,1.59557843208313,96115.37092,2040.0001,11,3,2.26330687524978E-09
